"","Program.Code","From.Grade","To.Grade","Group.State","Is.Non.Annual.","Days","Travel.Type","Departure.Date","Return.Date","Deposit.Date","Special.Pay","Tuition","FRP.Active","FRP.Cancelled","FRP.Take.up.percent.","Early.RPL","Latest.RPL","Cancelled.Pax","Total.Discount.Pax","Initial.System.Date","Poverty.Code","Region","CRM.Segment","School.Type","Parent.Meeting.Flag","MDR.Low.Grade","MDR.High.Grade","Total.School.Enrollment","Income.Level","EZ.Pay.Take.Up.Rate","School.Sponsor","SPR.Product.Type","SPR.New.Existing","FPP","Total.Pax","SPR.Group.Revenue","NumberOfMeetingswithParents","FirstMeeting","LastMeeting","DifferenceTraveltoFirstMeeting","DifferenceTraveltoLastMeeting","SchoolGradeTypeLow","SchoolGradeTypeHigh","SchoolGradeType","DepartureMonth","GroupGradeTypeLow","GroupGradeTypeHigh","GroupGradeType","MajorProgramCode","SingleGradeTripFlag","FPP.to.School.enrollment","FPP.to.PAX","Num.of.Non_FPP.PAX","SchoolSizeIndicator","Retained.in.2012.","From.Grade_surrogate","To.Grade_surrogate","Special.Pay_surrogate","Early.RPL_surrogate","Latest.RPL_surrogate","Initial.System.Date_surrogate","CRM.Segment_surrogate","MDR.High.Grade_surrogate","Total.School.Enrollment_surrogate","FirstMeeting_surrogate","LastMeeting_surrogate","DifferenceTraveltoFirstMeeting_surrogate","DifferenceTraveltoLastMeeting_surrogate","FPP.to.School.enrollment_surrogate"
"1974","SC","7","8","MA","0","7","A",2011-06-11,2011-06-17,2010-10-15,"FIXED_NA",2476,13,2,0.813,2010-05-04,2010-05-04,2,2,2010-05-03,"","Other","4","Private non-Christian","0","PK","8",300,"Q",0.063,"0","Costa Rica","NEW",16,18,2476,"0",1900-01-01,1900-01-01,0,0,"Middle","Middle","Middle->Middle","June","PK","Middle","PK->Middle","S","0",0.053333333,0.888888889,2,"S","0","0","0","1","0","0","0","0","0","0","1","1","1","1","0"
"1975","HD","5","5","CA","0","7","A",2011-06-11,2011-06-17,2010-10-25,"FIXED_NA",2249,18,0,0.546,1900-01-01,2010-09-16,2,1,2010-09-14,"A","Northern California","4","PUBLIC","0","K","5",458,"Q",0.364,"0","East Coast","NEW",33,34,2249,"0",1900-01-01,1900-01-01,0,0,"Elementary","Elementary","Elementary->Elementary","June","K","Elementary","K->Elementary","H","1",0.072052402,0.970588235,1,"S-M","1","0","0","1","1","0","0","0","0","0","1","1","1","1","0"
"1976","Other.Program.Code","9","12","CA","0","7","A",2011-06-11,2011-06-18,2010-12-12,"FIXED_NA",2948,3,4,0.75,1900-01-01,2010-09-20,5,1,2010-09-15,"B","Southern California","8","PUBLIC","1","9","12",835,"L",0.25,"0","East Coast","NEW",4,5,2948,"1",2010-10-20,2010-10-20,234,234,"High","High","High->High","June","High","High","High->High","H","0",0.004790419,0.8,1,"L","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"1977","HC","8","9","WA","1","7","A",2011-06-11,2011-06-18,2010-06-01,"FR",2863,12,9,0.286,2010-01-22,2010-01-22,13,1,2009-09-11,"","Pacific Northwest","7","CHD","1","","FIXED_NA",0,"",0.143,"0","East Coast","EXISTING",42,43,2863,"2",2010-05-19,2010-09-15,388,269,"Middle","High","Middle->High","June","Undefined","Undefined","Undefined->Undefined","H","0",0,0.976744186,1,"","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1"
"1978","Other.Program.Code","10","12","CA","0","8","A",2011-06-11,2011-06-18,2010-11-19,"FIXED_NA",2948,3,6,1,1900-01-01,2010-09-22,6,1,2010-09-14,"C","Southern California","8","PUBLIC","1","9","12",2169,"F",0,"0","East Coast","NEW",3,4,2948,"1",2010-10-06,2010-10-06,248,248,"High","High","High->High","June","High","High","High->High","H","0",0.001383126,0.75,1,"L","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"1979","Other.Program.Code","9","12","CA","0","7","A",2011-06-11,2011-06-18,2010-11-19,"FIXED_NA",2948,3,4,0.429,1900-01-01,2010-10-07,7,1,2010-10-05,"D","Southern California","8","PUBLIC","1","9","12",1800,"D",0,"0","East Coast","NEW",7,8,2948,"2",2010-10-27,2010-11-15,227,208,"High","High","High->High","June","High","High","High->High","H","0",0.003888889,0.875,1,"L","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"1980","HD","8","8","WI","0","3","A",2011-06-12,2011-06-14,2010-11-17,"FIXED_NA",1216,9,1,0.643,1900-01-01,2010-09-09,1,1,2010-07-10,"B","Other","10","PUBLIC","1","5","8",500,"I",0.214,"0","East Coast","EXISTING",14,15,1216,"1",2010-10-18,2010-10-18,237,237,"Middle","Middle","Middle->Middle","June","Elementary","Middle","Elementary->Middle","H","1",0.028,0.933333333,1,"S-M","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"1981","HD","6","6","MO","0","3","A",2011-06-12,2011-06-14,2010-10-15,"FIXED_NA",1291,13,1,0.813,2010-01-29,2010-08-17,2,2,2010-01-29,"","Other","10","CHD","1","PK","8",478,"C",0.25,"0","East Coast","EXISTING",16,18,1291,"1",2010-08-26,2010-08-26,290,290,"Middle","Middle","Middle->Middle","June","PK","Middle","PK->Middle","H","1",0.033472803,0.888888889,2,"S-M","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1982","HD","11","11","MI","0","3","A",2011-06-12,2011-06-14,2010-12-17,"FIXED_NA",1074,6,0,0.75,1900-01-01,2010-11-03,0,2,2010-11-02,"","Other","8","Catholic","1","9","12",496,"M",0.25,"0","East Coast","NEW",8,10,1074,"1",2010-11-16,2010-11-16,208,208,"High","High","High->High","June","High","High","High->High","H","1",0.016129032,0.8,2,"S-M","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"1983","HD","7","8","TX","0","4","A",2011-06-12,2011-06-15,2010-11-01,"FIXED_NA",1539,16,3,0.842,2010-04-26,2010-08-30,3,2,2010-04-22,"B","Houston","10","PUBLIC","1","7","8",558,"N",0.158,"0","East Coast","NEW",19,21,1539,"1",2010-09-30,2010-09-30,255,255,"Middle","Middle","Middle->Middle","June","Middle","Middle","Middle->Middle","H","0",0.034050179,0.904761905,2,"S-M","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1984","HD","8","8","TX","0","4","A",2011-06-12,2011-06-15,2010-10-15,"FIXED_NA",1568,8,0,0.8,1900-01-01,2010-07-13,5,1,2010-07-13,"D","Houston","1","PUBLIC","1","6","8",846,"D",0,"0","East Coast","NEW",10,11,1568,"2",2010-09-09,2010-10-04,276,251,"Middle","Middle","Middle->Middle","June","Middle","Middle","Middle->Middle","H","1",0.011820331,0.909090909,1,"L","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"1985","HD","8","8","FL","0","4","A",2011-06-12,2011-06-15,2010-10-20,"FIXED_NA",1299,22,8,0.647,2010-01-25,2010-08-03,8,3,2010-01-22,"C","Other","10","PUBLIC","1","6","8",1032,"O",0.294,"0","East Coast","EXISTING",34,37,1299,"2",2010-08-29,2010-09-26,287,259,"Middle","Middle","Middle->Middle","June","Middle","Middle","Middle->Middle","H","1",0.032945736,0.918918919,3,"L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1986","HD","6","8","TX","1","4","A",2011-06-12,2011-06-15,2010-10-25,"FIXED_NA",1539,17,7,0.81,1900-01-01,2010-08-30,10,4,2010-08-24,"B","Houston","10","PUBLIC","1","6","8",200,"I",0.191,"0","East Coast","NEW",21,25,1539,"1",2010-09-13,2010-09-13,272,272,"Middle","Middle","Middle->Middle","June","Middle","Middle","Middle->Middle","H","0",0.105,0.84,4,"S","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"1987","HD","FIXED_NA","FIXED_NA","MI","1","5","B",2011-06-12,2011-06-16,2010-10-22,"FIXED_NA",827,15,3,0.326,2010-03-01,2010-09-01,8,5,2010-02-18,"C","Other","10","PUBLIC","1","5","8",434,"E",0.022,"0","East Coast","EXISTING",46,51,827,"1",2010-09-15,2010-09-15,270,270,"Undefined","Undefined","Undefined->Undefined","June","Elementary","Middle","Elementary->Middle","H","0",0.105990783,0.901960784,5,"S-M","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"1988","HD","8","8","CA","0","5","A",2011-06-12,2011-06-16,2010-10-01,"FIXED_NA",2060,15,10,0.556,2010-01-29,2010-08-27,12,4,2010-01-22,"B","Northern California","10","PUBLIC","1","6","8",700,"N",0.259,"0","East Coast","EXISTING",27,31,2060,"2",2010-03-24,2010-09-02,445,283,"Middle","Middle","Middle->Middle","June","Middle","Middle","Middle->Middle","H","1",0.038571429,0.870967742,4,"M-L","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1989","HC","7","8","CA","1","5","A",2011-06-12,2011-06-16,2010-10-29,"FIXED_NA",2014,19,4,0.826,2010-03-08,2010-09-03,4,3,2010-03-06,"B","Northern California","5","PUBLIC","1","4","8",350,"G",0.478,"0","East Coast","EXISTING",23,26,2014,"2",2010-05-18,2010-10-07,390,248,"Middle","Middle","Middle->Middle","June","Elementary","Middle","Elementary->Middle","H","0",0.065714286,0.884615385,3,"S-M","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1990","HD","8","8","CA","0","5","A",2011-06-12,2011-06-16,2010-01-07,"FIXED_NA",1999,15,4,0.79,2010-04-16,2010-10-05,4,2,2010-04-15,"","Southern California","5","Catholic","1","K","8",645,"Q",0.263,"0","East Coast","NEW",19,21,1999,"2",2010-05-03,2010-10-07,405,248,"Middle","Middle","Middle->Middle","June","K","Middle","K->Middle","H","1",0.029457364,0.904761905,2,"M-L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1991","HD","7","8","CA","0","5","A",2011-06-12,2011-06-16,2010-11-19,"FIXED_NA",2060,0,3,0,1900-01-01,2010-09-14,8,2,2010-09-10,"B","Northern California","5","PUBLIC","1","K","8",810,"Q",0.154,"0","East Coast","NEW",13,15,2060,"1",2010-09-29,2010-09-29,256,256,"Middle","Middle","Middle->Middle","June","K","Middle","K->Middle","H","0",0.016049383,0.866666667,2,"M-L","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"1992","HD","5","FIXED_NA","OK","0","5","A",2011-06-12,2011-06-16,2010-11-15,"FIXED_NA",1909,3,4,0.6,1900-01-01,2010-09-07,4,1,2010-06-22,"B","Other","4","PUBLIC","0","PK","5",756,"P",0.4,"0","East Coast","EXISTING",5,6,1909,"0",1900-01-01,1900-01-01,0,0,"Elementary","Undefined","Other.SchoolGradeType","June","PK","Elementary","PK->Elementary","H","0",0.006613757,0.833333333,1,"M-L","1","0","1","1","1","0","0","0","0","0","1","1","1","1","0"
"1993","HC","FIXED_NA","FIXED_NA","NV","0","5","A",2011-06-12,2011-06-16,2010-10-29,"FIXED_NA",2095,16,8,0.667,2010-01-25,2010-01-25,12,2,2010-01-22,"B","Other","5","PUBLIC","1","7","9",579,"M",0.125,"0","East Coast","EXISTING",24,26,2095,"2",2010-05-24,2010-10-06,384,249,"Undefined","Undefined","Undefined->Undefined","June","Middle","High","Middle->High","H","0",0.041450777,0.923076923,2,"M-L","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"1994","HD","5","8","CA","1","5","A",2011-06-12,2011-06-16,2010-10-29,"FIXED_NA",2015,7,2,0.7,2010-02-22,2010-08-11,3,1,2010-01-27,"B","Northern California","10","PUBLIC","1","5","8",230,"K",0.4,"0","East Coast","EXISTING",10,11,2015,"2",2010-04-29,2010-09-08,409,277,"Elementary","Middle","Elementary->Middle","June","Elementary","Middle","Elementary->Middle","H","0",0.043478261,0.909090909,1,"S","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1995","HD","6","8","CA","0","5","A",2011-06-12,2011-06-16,2010-10-22,"FR",1981,11,1,0.579,2010-03-15,2010-08-26,1,3,2010-03-12,"","Northern California","10","CHD","1","K","8",150,"O",0.368,"0","East Coast","NEW",19,22,1981,"1",2010-09-14,2010-09-14,271,271,"Middle","Middle","Middle->Middle","June","K","Middle","K->Middle","H","0",0.126666667,0.863636364,3,"S","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1996","HD","9","11","OR","0","5","A",2011-06-12,2011-06-16,2010-10-06,"FIXED_NA",1995,11,1,0.786,1900-01-01,2010-08-27,0,1,2010-08-26,"C","Pacific Northwest","10","PUBLIC","0","7","12",107,"G",0.429,"0","East Coast","NEW",14,15,1995,"0",1900-01-01,1900-01-01,0,0,"High","High","High->High","June","Middle","High","Middle->High","H","0",0.130841121,0.933333333,1,"S","0","0","0","1","1","0","0","0","0","0","1","1","1","1","0"
"1997","HC","9","12","OR","0","5","A",2011-06-12,2011-06-16,2010-11-02,"FIXED_NA",2271,5,3,0.833,1900-01-01,2010-09-23,4,1,2010-09-22,"B","Pacific Northwest","5","PUBLIC","1","K","12",275,"I",0.5,"0","East Coast","NEW",6,7,2271,"1",2010-10-13,2010-10-13,242,242,"High","High","High->High","June","K","High","K->High","H","0",0.021818182,0.857142857,1,"S","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"1998","HC","8","8","WA","0","5","A",2011-06-12,2011-06-16,2010-11-19,"FIXED_NA",2068,12,7,0.6,1900-01-01,2010-10-11,13,2,2010-10-08,"C","Pacific Northwest","10","PUBLIC","1","6","8",687,"C",0.05,"0","East Coast","NEW",20,22,2068,"1",2010-10-27,2010-10-27,228,228,"Middle","Middle","Middle->Middle","June","Middle","Middle","Middle->Middle","H","1",0.029112082,0.909090909,2,"M-L","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"1999","HD","8","8","CA","0","6","A",2011-06-12,2011-06-17,2010-10-22,"FIXED_NA",2200,13,3,0.65,2010-01-22,2010-08-20,4,2,2010-01-23,"A","Northern California","5","PUBLIC","1","6","8",1180,"Q",0.3,"0","East Coast","EXISTING",20,22,2200,"2",2010-03-18,2010-09-02,451,283,"Middle","Middle","Middle->Middle","June","Middle","Middle","Middle->Middle","H","1",0.016949153,0.909090909,2,"L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"2000","HC","7","8","CA","1","6","A",2011-06-12,2011-06-17,2010-10-31,"FIXED_NA",2449,13,4,0.361,2010-02-15,2010-09-13,5,3,2010-02-14,"C","Northern California","10","PUBLIC","1","6","8",691,"H",0.5,"0","East Coast","EXISTING",36,39,2449,"1",2010-09-22,2010-09-22,263,263,"Middle","Middle","Middle->Middle","June","Middle","Middle","Middle->Middle","H","0",0.052098408,0.923076923,3,"M-L","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"2001","HC","8","8","NV","0","6","A",2011-06-12,2011-06-17,2010-10-15,"FIXED_NA",2149,20,4,0.8,2010-02-26,2010-08-06,10,2,2010-02-17,"B","Other","5","PUBLIC","1","7","8",1065,"M",0.36,"0","East Coast","EXISTING",25,27,2149,"1",2010-09-23,2010-09-23,262,262,"Middle","Middle","Middle->Middle","June","Middle","Middle","Middle->Middle","H","1",0.023474178,0.925925926,2,"L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"2002","HC","8","8","CA","0","6","A",2011-06-12,2011-06-17,2010-10-19,"FIXED_NA",1840,50,10,0.463,2010-03-15,2010-08-23,18,7,2010-03-10,"B","Northern California","5","PUBLIC","1","6","8",525,"N",0.278,"0","East Coast","EXISTING",108,115,1840,"1",2010-09-01,2010-09-01,284,284,"Middle","Middle","Middle->Middle","June","Middle","Middle","Middle->Middle","H","1",0.205714286,0.939130435,7,"S-M","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"2003","HD","8","8","CA","0","6","A",2011-06-12,2011-06-17,2010-10-22,"FIXED_NA",2356,7,1,0.778,2010-04-30,2010-08-18,2,2,2010-04-24,"B","Southern California","5","PUBLIC","1","6","8",1150,"M",0.444,"0","East Coast","EXISTING",9,11,2356,"1",2010-09-01,2010-09-01,284,284,"Middle","Middle","Middle->Middle","June","Middle","Middle","Middle->Middle","H","1",0.007826087,0.818181818,2,"L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"2004","HC","7","10","CA","0","6","A",2011-06-12,2011-06-17,2010-10-15,"FIXED_NA",2836,17,4,0.486,2010-02-04,2010-08-19,6,3,2010-02-04,"B","Northern California","5","PUBLIC","1","7","8",1118,"P",0.143,"0","East Coast","EXISTING",35,38,2836,"2",2010-09-14,2010-10-19,271,236,"Middle","High","Middle->High","June","Middle","Middle","Middle->Middle","H","0",0.031305903,0.921052632,3,"L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"2005","HC","8","8","CA","0","5","A",2011-06-12,2011-06-17,2010-10-01,"FIXED_NA",2327,13,1,0.52,2010-04-21,2010-08-31,1,2,2010-04-17,"","Southern California","5","Catholic","1","K","8",277,"O",0.2,"0","East Coast","EXISTING",25,27,2327,"2",2010-05-26,2010-09-15,382,270,"Middle","Middle","Middle->Middle","June","K","Middle","K->Middle","H","1",0.090252708,0.925925926,2,"S","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"2006","HD","8","8","FL","0","6","B",2011-06-12,2011-06-17,2010-11-01,"FIXED_NA",1117,16,7,0.889,2010-02-17,2010-08-11,7,3,2010-02-17,"B","Other","10","PUBLIC","1","6","8",1400,"M",0.333,"0","East Coast","EXISTING",18,21,1117,"1",2010-09-29,2010-09-29,256,256,"Middle","Middle","Middle->Middle","June","Middle","Middle","Middle->Middle","H","1",0.012857143,0.857142857,3,"L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"2007","HC","7","8","CA","1","6","A",2011-06-12,2011-06-17,2010-10-31,"FIXED_NA",2476,15,9,0.577,2010-02-15,2010-08-27,12,4,2010-02-13,"B","Northern California","10","PUBLIC","1","K","8",694,"L",0.231,"0","East Coast","EXISTING",26,30,2476,"1",2010-09-15,2010-09-15,270,270,"Middle","Middle","Middle->Middle","June","K","Middle","K->Middle","H","0",0.037463977,0.866666667,4,"M-L","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"2008","HC","8","8","CA","0","6","A",2011-06-12,2011-06-18,2010-10-15,"FIXED_NA",2336,11,4,0.611,2010-04-21,2010-08-10,5,2,2010-04-18,"B","Northern California","5","PUBLIC","1","6","8",565,"I",0.333,"0","East Coast","EXISTING",18,20,2336,"1",2010-08-10,2010-08-10,306,306,"Middle","Middle","Middle->Middle","June","Middle","Middle","Middle->Middle","H","1",0.031858407,0.9,2,"S-M","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"2009","HC","8","8","CA","1","6","A",2011-06-12,2011-06-18,2010-11-15,"FIXED_NA",2472,10,8,0.625,2010-02-09,2010-08-09,9,2,2010-01-28,"B","Southern California","5","PUBLIC","1","6","8",973,"O",0.25,"0","East Coast","EXISTING",16,18,2472,"1",2010-09-09,2010-09-09,276,276,"Middle","Middle","Middle->Middle","June","Middle","Middle","Middle->Middle","H","1",0.016443988,0.888888889,2,"L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"2010","HC","7","8","CA","0","6","A",2011-06-12,2011-06-18,2010-11-15,"FIXED_NA",2075,19,5,0.594,2010-04-22,2010-09-14,4,4,2010-04-15,"B","Southern California","5","PUBLIC","1","7","8",990,"O",0.188,"0","East Coast","EXISTING",32,36,2075,"2",2010-05-25,2010-10-20,383,235,"Middle","Middle","Middle->Middle","June","Middle","Middle","Middle->Middle","H","0",0.032323232,0.888888889,4,"L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"2011","HC","8","8","CA","0","6","A",2011-06-12,2011-06-18,2010-11-06,"FIXED_NA",2216,28,5,0.583,2010-03-02,2010-08-27,7,7,2010-02-18,"B","Northern California","5","PUBLIC","1","6","8",973,"O",0.313,"0","East Coast","EXISTING",48,55,2216,"2",2010-04-14,2010-09-27,424,258,"Middle","Middle","Middle->Middle","June","Middle","Middle","Middle->Middle","H","1",0.049331963,0.872727273,7,"L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"2012","SC","9","12","CA","0","7","A",2011-06-12,2011-06-18,2010-11-15,"FIXED_NA",2419,7,3,0.7,2010-05-19,2010-08-26,4,2,2010-05-18,"C","Southern California","8","PUBLIC","1","9","12",1769,"J",0.4,"0","Costa Rica","NEW",10,12,2419,"2",2010-06-08,2010-09-20,369,265,"High","High","High->High","June","High","High","High->High","S","0",0.005652911,0.833333333,2,"L","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"2013","SC","8","12","Other.Group.State","0","7","A",2011-06-12,2011-06-18,2010-11-01,"FIXED_NA",2389,6,10,0.75,1900-01-01,2010-09-13,11,1,2010-09-14,"C","Other","8","PUBLIC","0","7","12",367,"E",0.375,"0","Costa Rica","NEW",8,9,2389,"0",1900-01-01,1900-01-01,0,0,"Middle","High","Middle->High","June","Middle","High","Middle->High","S","0",0.021798365,0.888888889,1,"S-M","0","0","0","1","1","0","0","0","0","0","1","1","1","1","0"
"2014","HD","7","7","CA","0","8","A",2011-06-12,2011-06-19,2010-10-29,"FIXED_NA",2506,18,2,0.474,2010-03-02,2010-08-20,9,3,2010-01-28,"","Northern California","5","Catholic","1","K","8",600,"O",0.29,"0","East Coast","EXISTING",38,41,2506,"1",2010-08-23,2010-08-23,293,293,"Middle","Middle","Middle->Middle","June","K","Middle","K->Middle","H","1",0.063333333,0.926829268,3,"M-L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"2015","HC","7","8","TX","0","8","B",2011-06-12,2011-06-19,2010-10-30,"FIXED_NA",1669,9,2,0.563,1900-01-01,2010-09-01,3,3,2010-08-25,"C","Dallas","1","PUBLIC","1","6","8",774,"C",0.125,"0","East Coast","EXISTING",16,19,1669,"1",2010-09-22,2010-09-22,263,263,"Middle","Middle","Middle->Middle","June","Middle","Middle","Middle->Middle","H","0",0.020671835,0.842105263,3,"M-L","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"2016","HS","4","4","CA","0","2","A",2011-06-13,2011-06-14,2010-11-19,"FIXED_NA",658,11,2,0.611,2010-05-17,2010-10-05,2,1,2010-05-15,"C","Southern California","4","PUBLIC","1","PK","6",345,"C",0,"0","CA History","NEW",18,19,658,"2",2010-06-02,2010-09-28,376,258,"Elementary","Elementary","Elementary->Elementary","June","PK","Middle","PK->Middle","H","1",0.052173913,0.947368421,1,"S-M","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"2017","HD","7","7","MN","0","3","A",2011-06-13,2011-06-15,2010-10-15,"FIXED_NA",1259,16,0,0.593,2010-04-30,2010-08-24,2,2,2010-04-30,"A","Other","10","PUBLIC","1","5","8",1000,"M",0.259,"0","East Coast","EXISTING",27,29,1259,"1",2010-09-09,2010-09-09,277,277,"Middle","Middle","Middle->Middle","June","Elementary","Middle","Elementary->Middle","H","1",0.027,0.931034483,2,"L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"2018","HD","7","8","WI","0","3","A",2011-06-13,2011-06-15,2010-10-29,"FIXED_NA",1152,15,0,0.441,2010-04-22,2010-09-10,3,2,2010-04-20,"A","Other","10","PUBLIC","1","5","8",1017,"O",0.412,"0","East Coast","EXISTING",34,36,1152,"2",2010-05-06,2010-10-05,403,251,"Middle","Middle","Middle->Middle","June","Elementary","Middle","Elementary->Middle","H","0",0.033431662,0.944444444,2,"L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"2019","HD","8","8","MO","0","4","A",2011-06-13,2011-06-16,2010-10-15,"FR",1556,12,3,0.571,2010-02-24,2010-08-23,4,2,2010-02-20,"A","Other","10","PUBLIC","1","6","8",1006,"O",0.191,"0","East Coast","EXISTING",21,23,1556,"1",2010-09-09,2010-09-09,277,277,"Middle","Middle","Middle->Middle","June","Middle","Middle","Middle->Middle","H","1",0.020874751,0.913043478,2,"L","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020","HD","8","8","TX","0","4","A",2011-06-13,2011-06-16,2010-10-01,"FIXED_NA",1349,19,8,0.792,2010-05-17,2010-08-27,12,3,2010-05-15,"B","Dallas","10","PUBLIC","1","6","8",1083,"M",0.083,"0","East Coast","EXISTING",24,27,1349,"2",2010-05-25,2010-09-16,384,270,"Middle","Middle","Middle->Middle","June","Middle","Middle","Middle->Middle","H","1",0.022160665,0.888888889,3,"L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"2021","HD","8","8","MN","0","4","A",2011-06-13,2011-06-16,2010-10-31,"FIXED_NA",1399,15,0,0.385,2010-03-15,2010-08-25,3,4,2010-03-14,"A","Other","10","PUBLIC","1","7","8",321,"M",0.154,"0","East Coast","EXISTING",39,43,1399,"1",2010-09-01,2010-09-01,285,285,"Middle","Middle","Middle->Middle","June","Middle","Middle","Middle->Middle","H","1",0.121495327,0.906976744,4,"S","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"2022","HD","8","8","TX","0","4","A",2011-06-13,2011-06-16,2010-10-22,"FIXED_NA",1577,10,4,0.714,1900-01-01,2010-09-01,8,1,2010-08-27,"B","Dallas","10","PUBLIC","1","7","8",850,"I",0,"0","East Coast","NEW",14,15,1577,"1",2010-09-28,2010-09-28,258,258,"Middle","Middle","Middle->Middle","June","Middle","Middle","Middle->Middle","H","1",0.016470588,0.933333333,1,"L","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"2023","HC","8","8","WI","0","4","A",2011-06-13,2011-06-16,2010-11-19,"FIXED_NA",1563,33,4,0.75,2010-03-11,2010-08-23,3,3,2010-03-03,"B","Other","4","PUBLIC","1","6","6",457,"L",0.546,"0","East Coast","EXISTING",44,47,1563,"1",2010-09-14,2010-09-14,272,272,"Middle","Middle","Middle->Middle","June","Middle","Middle","Middle->Middle","H","1",0.096280088,0.936170213,3,"S-M","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"2024","HD","7","8","WI","0","3","A",2011-06-13,2011-06-16,2010-10-01,"FIXED_NA",1343,18,2,0.643,2010-04-01,2010-08-30,0,3,2010-03-31,"B","Other","10","PUBLIC","1","6","8",268,"L",0.393,"0","East Coast","EXISTING",28,31,1343,"1",2010-10-06,2010-10-06,250,250,"Middle","Middle","Middle->Middle","June","Middle","Middle","Middle->Middle","H","0",0.104477612,0.903225806,3,"S","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"2025","HD","8","8","TX","0","4","A",2011-06-13,2011-06-16,2010-10-25,"FIXED_NA",1349,16,5,0.842,2010-05-17,2010-08-30,8,2,2010-05-15,"B","Dallas","10","PUBLIC","1","6","8",1182,"M",0.211,"0","East Coast","EXISTING",19,21,1349,"2",2010-05-25,2010-09-20,384,266,"Middle","Middle","Middle->Middle","June","Middle","Middle","Middle->Middle","H","1",0.01607445,0.904761905,2,"L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"2026","HD","8","8","WI","0","3","A",2011-06-13,2011-06-16,2010-10-15,"FIXED_NA",1343,25,8,0.758,2010-02-17,2010-08-09,11,3,1900-01-01,"B","Other","10","PUBLIC","1","7","8",120,"N",0.455,"0","East Coast","EXISTING",33,36,1343,"2",2010-03-11,2010-10-04,459,252,"Middle","Middle","Middle->Middle","June","Middle","Middle","Middle->Middle","H","1",0.275,0.916666667,3,"S","1","0","0","1","0","0","Other.Initial.System.Date_surrogate","0","0","0","0","0","0","0","0"
"2027","HD","8","8","TX","0","4","A",2011-06-13,2011-06-16,2010-10-01,"FIXED_NA",1718,3,8,0.6,2010-02-26,2010-09-14,3,1,2010-02-27,"D","Houston","1","PUBLIC","1","6","8",690,"B",0,"0","East Coast","EXISTING",5,6,1718,"1",2010-09-21,2010-09-21,265,265,"Middle","Middle","Middle->Middle","June","Middle","Middle","Middle->Middle","H","1",0.007246377,0.833333333,1,"M-L","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
